Species,wprey,wpredator,Nprey
sardine,1.76715E-07,108.614,0.7341
sardine,6.8E-09,108.614,0.6088
sardine,3.013E-09,108.614,0.8220
sardine,7.5398E-08,108.614,0.0923
sardine,3.6882E-08,108.614,0.0769
sardine,6.46E-10,108.614,68.1626
sardine,1.08532E-07,108.614,1.9890
sardine,4.59E-10,108.614,0.8593
sardine,1.08909E-07,108.614,0.2308
sardine,1.252E-09,108.614,4.2286
sardine,1.439E-08,108.614,8.3473
sardine,3.125E-08,108.614,0.0791
sardine,4.7435E-08,108.614,2.6264
sardine,0.00000005,108.614,0.4989
sardine,0.00000005,108.614,0.6000
sardine,0.00000005,108.614,0.1868
sardine,0.00000005,108.614,0.0022
sardine,1.6303E-08,108.614,0.2615
sardine,1.33298E-07,108.614,8.8418
sardine,0.00000005,108.614,0.0571
sardine,0.00000005,108.614,0.0154
sardine,0.00000005,108.614,0.0308
sardine,0.00000003,108.614,1.6549
sardine,1.964E-09,108.614,9.1758
sardine,9.8175E-08,108.614,0.0066
sardine,9.8175E-08,108.614,0.0044
sardine,9.8175E-08,108.614,0.1055
sardine,9.8175E-08,108.614,0.4659
sardine,8.8698E-08,108.614,0.2527
sardine,0.0000385,108.614,0.3055
sardine,0.000092584,108.614,0.0527
sardine,0.000092584,108.614,2.4154
sardine,0.000092584,108.614,0.1890
sardine,0.0001767,108.614,0.6462
sardine,0.00026,108.614,0.9692
sardine,0.000092584,108.614,1.0242
sardine,0.000092584,108.614,0.1319
sardine,0.0000615,108.614,0.0132
sardine,0.0001308,108.614,1.6791
sardine,0.000092584,108.614,0.3055
sardine,0.000092584,108.614,0.8220
sardine,0.000092584,108.614,0.8220
sardine,0.000092584,108.614,0.3253
sardine,0.000092584,108.614,0.4352
sardine,0.0001375,108.614,0.0484
sardine,0.000092584,108.614,0.0440
sardine,0.00005934,108.614,0.2088
sardine,0.000092584,108.614,0.2615
sardine,0.000092584,108.614,0.0220
sardine,0.0000145,108.614,1.2000
sardine,0.000041,108.614,2.2945
sardine,0.000092584,108.614,1.2132
sardine,0.000092584,108.614,0.0571
sardine,0.000092584,108.614,0.0176
sardine,0.000092584,108.614,0.0681
sardine,0.000092584,108.614,0.0110
sardine,0.000092584,108.614,0.0308
sardine,0.000092584,108.614,0.1780
sardine,0.000092584,108.614,0.3890
sardine,0.000006,108.614,1.3385
sardine,0.000092584,108.614,2.6198
